ts,rss_mib,temp_c,p99_ms,direct_2xx,direct_err,anon_2xx,anon_503,ingest_2xx
1781242536,186,60.6,1342,426,0,26,0,11
1781242596,191,63.9,1725,363,0,46,0,6
1781242656,192,61.7,3293,367,0,56,0,3
1781242718,188,63.9,383,494,0,64,0,9
1781242784,184,62.8,1066,356,0,48,0,5
1781242856,192,65.5,95,466,0,30,0,10
1781242918,177,66.1,1565,427,0,42,0,4
1781242978,184,63.4,244,494,0,51,0,10
1781243038,181,67.2,36,485,0,60,0,9
1781243098,196,63.4,1200,446,0,57,0,5
1781243162,195,64.5,979,362,0,37,0,7
1781243223,193,63.9,85,501,0,39,0,9
1781243283,202,63.9,35,512,0,44,0,12
1781243343,207,61.7,37,514,0,54,0,12
1781243403,202,62.8,33,504,0,60,0,10
1781243463,206,63.4,33,512,0,45,0,12
1781243523,231,61.7,34,510,0,47,0,12
1781243583,203,61.1,32,514,0,51,0,10
1781243643,206,60.0,32,516,0,56,0,12
1781243703,205,62.2,33,514,0,57,0,11
1781243763,209,60.6,33,514,0,48,0,11
1781243823,209,63.4,32,522,0,48,0,11
1781243883,207,62.2,33,509,0,45,0,11
1781243943,213,62.2,33,512,0,52,0,12
1781244003,216,60.6,33,514,0,54,0,12
1781244063,228,62.2,33,510,0,57,0,12
1781244123,225,61.1,33,506,0,48,0,10
1781244183,213,61.7,32,517,0,38,0,12
1781244243,220,62.2,34,513,0,46,0,12
1781244303,232,62.2,34,513,0,48,0,10
1781244363,214,61.1,35,500,0,53,0,11
1781244424,214,60.6,33,519,0,50,0,12
1781244484,216,60.6,31,519,0,49,0,12
1781244544,216,61.1,31,521,0,33,0,10
1781244604,214,60.0,34,508,0,43,0,11
1781244664,216,60.0,34,512,0,53,0,12
1781244724,233,62.2,33,514,0,51,0,12
1781244784,217,62.2,30,518,0,54,0,11
1781244844,217,62.8,33,514,0,46,0,10
1781244904,233,61.1,33,512,0,52,0,12
1781244964,216,60.0,33,518,0,47,0,11
1781245024,215,61.1,33,516,0,45,0,12
1781245084,215,60.6,34,510,0,52,0,12
1781245144,219,60.0,33,513,0,55,0,10
1781245204,216,62.8,30,519,0,48,0,12
1781245264,222,60.6,31,522,0,43,0,12
1781245324,217,62.2,33,516,0,52,0,11
1781245384,214,60.6,31,521,0,48,0,12
1781245444,213,62.8,31,520,0,54,0,12
1781245504,216,63.9,30,523,0,49,0,11
1781245564,222,61.7,31,518,0,44,0,12
1781245624,224,61.7,34,518,0,38,0,12
1781245684,220,60.6,33,514,0,52,0,10
1781245744,216,61.7,31,520,0,41,0,12
1781245804,215,61.7,35,512,0,43,0,11
1781245864,216,62.2,33,516,0,49,0,12
1781245924,218,70.0,61,470,0,44,0,10
1781245984,222,66.7,37,505,0,52,0,4
1781246044,221,63.9,56,479,0,43,0,7
1781246105,232,63.9,33,516,0,51,0,10
1781246165,215,67.8,37,513,0,50,0,11
1781246225,218,64.5,98,445,0,36,0,3
1781246287,218,65.0,44,355,1,21,0,5
1781246347,218,65.5,33,518,0,43,0,10
1781246407,229,63.4,34,514,0,40,0,8
1781246467,212,62.8,33,518,0,48,0,10
1781246527,211,63.9,56,552,0,48,0,10
1781246592,207,63.4,34,512,0,55,0,11
1781246652,213,65.5,36,510,0,41,0,9
1781246712,217,66.7,39,510,0,47,0,8
1781246772,212,67.8,40,518,0,47,0,9
1781246832,221,64.5,35,699,0,67,0,6
1781246918,217,65.0,39,503,0,52,0,9
1781246978,219,63.4,32,520,0,42,0,12
1781247038,213,62.2,30,521,0,51,0,10
1781247098,212,62.8,30,522,0,51,0,12
1781247158,237,63.9,32,520,0,48,0,12
1781247218,212,62.8,33,514,0,56,0,11
1781247278,221,63.4,33,516,0,52,0,11
1781247338,215,63.4,33,518,0,43,0,12
1781247398,217,62.8,33,518,0,45,0,10
1781247458,212,61.1,33,513,0,49,0,12
1781247518,216,61.7,32,518,0,50,0,11
1781247578,215,62.2,33,512,0,56,0,12
1781247638,219,60.6,33,514,0,37,0,10
1781247698,223,61.7,34,512,0,46,0,12
1781247758,233,61.1,30,519,0,50,0,12
1781247818,220,60.6,34,519,0,42,0,10
1781247878,212,62.8,31,517,0,48,0,12
1781247938,211,61.1,30,520,0,48,0,11
1781247998,216,61.7,33,517,0,45,0,12
1781248058,215,60.6,31,518,0,40,0,10
1781248118,217,63.4,33,516,0,47,0,12
1781248178,215,61.1,34,514,0,47,0,12
1781248238,223,62.8,33,516,0,51,0,12
1781248298,217,62.2,32,520,0,44,0,11
1781248358,233,61.7,33,514,0,46,0,11
1781248418,220,61.7,32,516,0,47,0,11
1781248478,220,62.2,30,522,0,46,0,12
1781248538,220,62.8,33,517,0,50,0,11
1781248599,219,62.8,34,507,0,47,0,11
1781248659,237,61.1,33,519,0,45,0,12
1781248719,219,62.2,31,523,0,45,0,11
1781248779,218,60.0,33,519,0,52,0,12
1781248839,219,62.8,31,523,0,40,0,10
1781248899,221,63.4,31,520,0,51,0,12
1781248959,226,60.6,32,518,0,54,0,12
1781249019,238,61.7,31,522,0,51,0,12
1781249079,224,62.8,35,512,0,50,0,10
1781249139,228,62.8,33,514,0,52,0,12
1781249199,225,62.8,29,522,0,53,0,10
1781249259,224,62.8,34,515,0,41,0,12
1781249319,225,60.6,32,513,0,50,0,11
1781249379,227,62.2,33,520,0,42,0,12
1781249439,223,62.2,32,516,0,51,0,12
1781249499,230,61.7,32,511,0,44,0,11
1781249559,228,62.2,31,521,0,48,0,11
1781249619,233,60.0,33,518,0,45,0,12
1781249679,234,61.1,30,518,0,51,0,12
1781249739,243,63.4,30,523,0,44,0,12
1781249799,234,62.8,33,513,0,44,0,10
1781249859,235,61.7,33,516,0,45,0,12
1781249919,250,62.2,31,524,0,49,0,12
